ID,Q1,Q2,Q6,Q7,Q8,Q3,Italiano,Ingles,Porto,Catal,Fran,Chin,Japo,Corr,Otro
1,El Guabo,40-60,a veces,definitivamente,después de escuela,hago deberes,,x,,,x,,,,
2,Machala,1-20,a veces,quizás,después de escuela,hago deberes,,x,x,,,,,,
3,Machala,1-20,a veces,quizás,después de escuela,otro,,,,,,,,,x
4,Machala,1-20,mucho,probablemente,después de escuela,hago deberes,,x,,,x,,,,
5,Puerto Bolívar,1-20,a veces,probablemente,después de escuela,hago deberes,,x,,,x,,,,
6,Machala,20-40,a veces,quizás,después de escuela,"hago deberes, cuidar familia",,,,,x,,,,
7,Machala,1-20,a veces,quizás,después de escuela,hago deberes,,x,,,,,,,
8,Machala,1-20,a veces,quizás,después de escuela,"hago deberes, actividades ec",,x,x,,,,,,
9,El Guabo,40-60,a veces,quizás,después de escuela,hago deportes,,x,,,,,,,
10,Puerto Bolívar,1-20,nunca,quizás,después de escuela,"hago deberes, hago deportes, social",,,x,x,x,,,,
11,Machala,1-20,a veces,quizás,receso,hago deberes,,x,,,,,,,
12,Machala,20-40,a veces,quizás,después de escuela,"hago deberes, hago deportes, actividades ec",x,,,,x,,,,
13,Machala,1-20,a veces,probablemente,después de escuela,hago deberes,,,,,,,,x,
14,Puerto Bolívar,1-20,mucho,definitivamente,después de escuela,hago deberes,,x,x,,,,,,
15,Puerto Bolívar,20-40,a veces,quizás,después de escuela,hago deberes,,,,,,,x,,
16,Puerto Bolívar,20-40,a veces,quizás,después de escuela,hago deberes,x,x,x,,x,,,,
17,Machala,20-40,a veces,quizás,después de escuela,trabajo,,,,,x,,,,
18,Machala,1-20,a veces,quizás,después de escuela,"hago deberes, social",,x,,,x,,,,
19,Machala,1-20,mucho,quizás,después de escuela,"hago deberes, dormir",x,x,,,x,,x,,
20,Machala,20-40,a veces,quizás,después de escuela,hago deberes,,x,,,,,,,
21,Machala,1-20,a veces,probablemente,después de escuela,"hago deberes, actividades ec",,x,,,,,,,
22,La Iberia,20-40,mucho,probablemente,después de escuela,dormir,,x,,,,,,,
23,Machala,1-20,mucho,definitivamente,después de escuela,dormir,,x,,,x,,,,
24,Machala,1-20,mucho,probablemente,después de escuela,hago deberes,x,x,,,,,,,
25,Machala,20-40,a veces,definitivamente,después de escuela,"hago deberes, social",x,x,,,x,,,,
26,Machala,20-40,mucho,definitivamente,receso,"hago deberes, hago deportes",x,x,,,,,,,
27,Machala,1-20,mucho,definitivamente,después de escuela,hago deportes,x,x,,,,,,,
28,Machala,20-40,a veces,definitivamente,después de escuela,"hago deberes, social",x,,x,,,,,,
29,Machala,1-20,mucho,definitivamente,después de escuela,hago deportes,,,x,x,,,,,
30,Machala,1-20,a veces,no,después de escuela,dormir,,,,,,x,,,
31,Machala,20-40,a veces,definitivamente,después de escuela,"hago deberes, social",,x,,,,,,,
32,Machala,1-20,a veces,quizás,después de escuela,"hago deberes, hago deportes, social",,x,,,x,,x,,
33,Machala,20-40,a veces,probablemente,después de escuela,"hago deberes, social",x,x,,,,,,,
34,Machala,1-20,a veces,quizás,receso,hago deberes,x,,,,,,,,
35,Machala,1-20,a veces,probablemente,después de escuela,hago deberes,,,x,,,,,,
36,Machala,40-60,mucho,probablemente,después de escuela,"hago deportes, social",,x,,,x,,x,,
37,Machala,20-40,mucho,no,después de escuela,hago deberes,,x,,,,,,,
38,Machala,1-20,a veces,quizás,después de escuela,"hago deberes, actividades ec",,,x,,x,,,,
39,Machala,1-20,a veces,quizás,después de escuela,cuidar familia,,,,,x,,,,
40,Machala,1-20,mucho,definitivamente,después de escuela,hago deberes,x,x,x,x,x,x,x,,
41,Machala,1-20,mucho,probablemente,después de escuela,social,,x,,,x,,,,
42,Machala,1-20,a veces,probablemente,después de escuela,hago deberes,x,,,,x,,,,
43,Machala,20-40,mucho,definitivamente,después de escuela,hago deberes,x,,,,,,,,
44,Machala,1-20,a veces,quizás,después de escuela,"hago deberes, dormir",x,x,,,x,,,,
45,Machala,1-20,a veces,quizás,después de escuela,social,,,,,x,,,,
46,Machala,1-20,mucho,probablemente,después de escuela,hago deberes,,,,,x,,,,
47,Machala,1-20,a veces,quizás,después de escuela,hago deberes,,,x,,,,,,
48,Machala,1-20,mucho,quizás,receso,hago deberes,x,,,,,,,,
49,Puerto Bolívar,1-20,mucho,probablemente,después de escuela,hago deportes,,,,,x,,,,
50,Machala,1-20,mucho,definitivamente,después de escuela,hago deberes,,x,,,x,,,,
51,Machala,20-40,a veces,probablemente,después de escuela,"hago deberes, trabajo",,,,,x,,,,
52,Machala,1-20,mucho,definitivamente,después de escuela,"hago deberes, trabajo",,x,,,,,,,
53,El Guabo,1-20,a veces,quizás,después de escuela,hago deberes,,,x,,,,,,
54,Machala,1-20,a veces,quizás,después de escuela,hago deberes,,x,,,,,,,
55,Machala,40-60,mucho,probablemente,después de escuela,"hago deberes, hago deportes, trabajo",,,,,,x,,,
56,Machala,1-20,mucho,definitivamente,después de escuela,"hago deberes, hago deportes, actividades ec",,x,,,x,,,,
57,Puerto Bolívar,1-20,a veces,probablemente,después de escuela,hago deberes,,x,,,,,,,
58,Machala,1-20,a veces,definitivamente,después de escuela,"hago deberes, hago deportes, social, trabajo",,x,x,,x,,,,
59,Machala,1-20,a veces,definitivamente,después de escuela,hago deberes,,x,,,,,,,
60,Machala,1-20,a veces,quizás,después de escuela,"hago deberes, hago deportes",x,,,,,,,,
61,Puerto Bolívar,1-20,a veces,quizás,después de escuela,hago deberes,,x,,,,,,,
62,Machala,1-20,a veces,quizás,después de escuela,hago deberes,,x,,,x,,,,
63,Machala,1-20,a veces,probablemente,después de escuela,"hago deberes, social",,x,,,,,x,,
64,Machala,1-20,a veces,definitivamente,después de escuela,hago deberes,,x,,,,,,,
65,Machala,1-20,a veces,probablemente,después de escuela,hago deberes,,x,,,,,,,
66,Puerto Bolívar,1-20,a veces,quizás,después de escuela,"hago deberes, hago deportes",,x,,,,,,,
67,Machala,1-20,a veces,quizás,después de escuela,hago deberes,,,x,,x,,,,
68,Machala,40-60,a veces,quizás,después de escuela,"hago deberes, social",,x,x,,,,,,
69,Machala,20-40,a veces,quizás,después de escuela,"hago deberes, trabajo",,x,x,,x,,,,
70,Machala,1-20,mucho,definitivamente,receso,hago deberes,,x,,,,,,,
71,Puerto Bolívar,20-40,a veces,quizás,después de escuela,hago deberes,x,,x,,,,,,
